DataYear,DataYear_cat,Country,Region,Gender,Age_years,Age_years_cat,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_school,Travel_time_to_school,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_internet_access,Left_Footlength_cm,Longer_foot,Index_fingerlength_mm,Ring_fingerlength_mm,Longer_finger_lefthand,Birth_month,Favorite_season,Allergies,Vegetarian,Favorite_food,Beverage,Favorite_school_subject,Sleep_hours_schoolnight,Sleep_hours_non_schoolnight,Home_occupants,Home_internet_access,Communication_with_friends,Text_messages_sent_yesterday,Text_messages_received_yesterday,Activities_hanging_out_with_friends_hours,Activities_talking_on_phone_hours,Activities_doing_homework_hours,Activities_doing_things_with_family_hours,Activities_outdoor_activities_hours,Activities_video_games_hours,Activities_social_websites_hours,Activities_texting_messaging_hours,Activities_computer_use_hours,Activities_Watching_TV_Hours,Activities_paid_work_hours,Activities_work_at_home_hours,Schoolwork_pressure,Schoolwork_pressure_reord,Planned_education_level,Favorite_music,Superpower,Preferred_status,Role_model_type,Charity_donation,
"2010","[2010]","USA","DC","Female","12","[12]","Right-Handed","156","25","162","2","Car","20","0.318","35","Dancing","193","722","503","","770","898","26","Left foot","80","90","Ring finger","June","Summer","Yes","No","Desserts","Tea","Mathematics and statistics","7","7","3","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog","100","120","10","15","1","3","2","0","20","50","25","1","0","2","A lot","4.A lot","Graduate degree","Rhythm and blues (R&B)","Telepathy","Happy","Relative","Arts, culture, sports",
"2011","[2011]","USA","HI","Female","14","[14]","Right-Handed","163","24","155","1","Car","30","0.386","45","Basketball","701","800","700","","900","1000","24","Same length","80","70","Index finger","January","Spring","No","No","Pizza/Pasta","Juice","History","6","10","4","Yes - broadband connection","Text messaging","200","220","50","2","25","25","2","0","50","100","100","30","0","0","Some","3.Some","Graduate degree","Pop","Fly","Happy","Friend","Education/Youth development",
"2013","[2013]","USA","WI","Female","13","[13]","Right-Handed","143","23","143","1","Bus","30","0.882","51","Soccer","706","572","567","743","321","422","23","Same length","70","65","Index finger","November","Summer","Yes","No","Pizza/Pasta","Water","English","9","7","4","Yes - broadband connection","Text messaging","20","22","5","0","10","6","7","0","2","2","0","3","0","2","A lot","4.A lot","Graduate degree","Country","Fly","Happy","Sports person","Health",
"2014","[2014]","USA","KS","Female","14","[14]","Ambidextrous","177","25","177","1","Bus","20","0.397","56","Gymnastics","1000","200","500","700","0","0","25","Same length","84","76","Index finger","June","Winter","Yes","No","Seafood","Water","Science","6","10","5","Yes - other","Other","0","0","12","4","6","1","12","7","3","4","7","3","0","9","Some","3.Some","Other","Other","Freeze time","Happy","Friend","Wildlife, animals",
"2014","[2014]","USA","GU","Female","13","[13]","Right-Handed","155","12","152","2","Walk","25","0.552","75","None","546","1000","900","800","201","100","24","Left foot","100","100","Same length","March","Summer","No","Yes","Rice/Noodle dishes","Sports drink","Music","6","8","2","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog","20","26","9","7","25","8","9","6","23","6","12","14","6","12","Some","3.Some","Other","Rap/Hip hop","Invisibility","Famous","Friend","Other",
"2015","[2015]","USA","WI","Female","12","[12]","Left-Handed","155","22.23","154","1","Walk","10","0.335","35","Soccer","1000","497","476","471","251","396","23","Left foot","","","","March","Winter","Yes","No","Pizza/Pasta","Juice","Science","10","8","4","Yes - broadband connection","Cell phone","5","7","2","12","8","5","10","3","5","3","3","4","18","10","Some","3.Some","Graduate degree","Pop","Telepathy","Healthy","Actor","Health",
"2014","[2014]","USA","IL","Female","12","[12]","Right-Handed","158","22","149","1","Walk","20","0.487","61","Baseball/Softball","900","500","900","700","1000","1000","23","Left foot","70","80","Ring finger","March","Summer","Yes","No","Desserts","Water","Mathematics and statistics","8","10","5","Yes - broadband connection","In person","10","10","4","1","3","4","2","0","2","2","2","2","1","1","A lot","4.A lot","Graduate degree","Techno/Electronic","Freeze time","Happy","Friend","Religious",
"2014","[2014]","USA","CA","Female","11","[11]","Right-Handed","140","21","133","1","Car","50","0.525","42","Basketball","439","439","439","439","257","369","21","Same length","70","70","Same length","October","Fall","Yes","No","Pizza/Pasta","Water","Physical education","10","12","4","Yes - other","In person","0","0","45","1","5","12","18","4","0","1","15","0","0","11","Some","3.Some","Graduate degree","Techno/Electronic","Fly","Happy","Coach or club leader","Wildlife, animals",
"2013","[2013]","USA","WI","Female","14","[14]","Right-Handed","160","21","160","2","Car","15","0.282","44","Soccer","500","350","100","100","700","700","20","Right foot","72","73","Ring finger","September","Summer","No","No","Rice/Noodle dishes","Soft drink (caffeinated)","English","6","10","4","Yes - broadband connection","Text messaging","50","51","3","1","2","4","0","2","8","8","10","4","0","1","Some","3.Some","Some college","Pop","Invisibility","Happy","Relative","Wildlife, animals",
"2013","[2013]","USA","WI","Female","13","[13]","Right-Handed","160","24","155","2","Car","3","0.384","29","Basketball","230","316","241","422","1000","1000","25","Left foot","90","80","Index finger","November","Summer","Yes","No","Desserts","Water","Languages","7","12","5","Yes - other","Text messaging","150","155","2","0","2","4","3","0","15","6","20","5","0","1","Some","3.Some","Graduate degree","Pop","Invisibility","Famous","Musician or singer","Health",
"2015","[2015]","USA","KY","Female","12","[12]","Right-Handed","163","25","150","1","Bus","35","0.427","43","Soccer","802","508","209","380","102","53","25","Right foot","70","70","Same length","February","Summer","No","No","Other","Water","Physical education","10","8","4","Yes - other","Text messaging","0","0","10","0","7","21","8","2","12","10","20","35","0","49","Some","3.Some","Graduate degree","Pop","Invisibility","Healthy","Other","Health",
"2010","[2010]","USA","DC","Female","11","[11]","Right-Handed","145","25","145","1","Car","40","0.406","57","Tennis","1000","952","952","","305","305","25","Same length","60","70","Ring finger","March","Spring","Yes","No","No favorite","Water","Mathematics and statistics","9","8","5","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog","1","2","40","3","4","7","21","5","2","2","4","12","0","5","Some","3.Some","Graduate degree","Other","Telepathy","Rich","Politician","Environment",
"2015","[2015]","USA","CA","Female","11","[11]","Right-Handed","172","27","167","1","Car","3","0.546","47","Baseball/Softball","3","3","5","5","9","10","27","Same length","65","67","Ring finger","May","Summer","Yes","No","Seafood","Water","Mathematics and statistics","7","10","4","Yes - other","Text messaging","200","300","10","1","7","4","15","0","9","12","6","5","0","1","Very little","2.Very little","Graduate degree","Pop","Telepathy","Healthy","Other","Health",
"2013","[2013]","USA","NC","Female","12","[12]","Right-Handed","158","29","154","1","Car","7","0.569","41","Gymnastics","890","1000","780","500","980","980","29","Same length","71","76","Ring finger","February","Summer","Yes","","Pizza/Pasta","Water","Computers and technology","9","12","4","Yes - broadband connection","Text messaging","125","130","8","1","4","7","4","0","1","15","15","4","0","3","Some","3.Some","Graduate degree","Pop","Telepathy","Happy","Sports person","Religious",
"2015","[2015]","USA","CA","Female","13","[13]","Right-Handed","155","23","159","1","Car","15","0.521","60","Gymnastics","500","700","400","100","700","1000","23","Same length","65","70","Ring finger","November","Summer","No","No","Desserts","Water","Other","10","12","4","Yes - other","Cell phone","0","0","7","1","10","3","4","0","0","0","5","10","0","7","Some","3.Some","Graduate degree","Rap/Hip hop","Fly","Famous","Relative","Arts, culture, sports",
"2014","[2014]","USA","GU","Female","14","[14]","Right-Handed","165","23","165","1","Car","15","0.392","38","None","1000","1000","1000","1000","999","1000","23","Same length","75","80","Ring finger","December","Spring","No","No","Pizza/Pasta","Tea","English","7","","6","Yes - broadband connection","Internet chat or instant messaging","100","120","12","6","2","5","0","0","50","20","80","0","0","0","Some","3.Some","Some college","Punk rock","Telepathy","Happy","Other","International aid",
"2010","[2010]","USA","DC","Female","12","[12]","Right-Handed","160","23","160","1","Car","20","0.529","41","Martial Arts","353","128","150","","1000","1000","23","Same length","60","80","Ring finger","May","Spring","Yes","No","Breads/Sandwiches","Soft drink (caffeinated)","English","8","11","2","Yes - broadband connection","In person","0","0","3","5","5","6","3","3","3","3","2","5","0","4","Very little","2.Very little","Less than high school","Rap/Hip hop","Telepathy","Healthy","Teacher","Education/Youth development",
"2015","[2015]","USA","CA","Female","11","[11]","Right-Handed","149","22","155","1","Bus","35","0.658","51","Other","749","235","824","358","674","479","23","Left foot","80","65","Index finger","April","Spring","No","No","Desserts","Milk","Languages","9","11","4","Yes - broadband connection","Internet chat or instant messaging","5","5","2","1","6","3","3","1","1","1","14","1","0","1","Some","3.Some","Graduate degree","Pop","Fly","Happy","Religious figure","Environment",
"2014","[2014]","USA","MN","Female","13","[13]","Right-Handed","164","24","154","2","Car","10","0.818","60","Dancing","802","1000","604","866","765","1000","23","Right foot","80","70","Index finger","September","Fall","No","No","Pizza/Pasta","Sports drink","Art","8","12","4","Yes - other","Myspace, Facebook, other social networking sites, or blog","14","10","7","0","14","7","21","0","14","7","7","28","0","28","Very little","2.Very little","Less than high school","Rap/Hip hop","Fly","Healthy","Actor","Health",
"2014","[2014]","USA","GA","Female","14","[14]","Right-Handed","156","21.59","170","3","Car","5","0.326","36","Athletics","400","300","1000","500","1000","1000","20","Right foot","90","80","Index finger","July","Winter","Yes","No","Meat","Juice","Art","6","8","6","Yes - broadband connection","Text messaging","15","14","2","0","1","2","0","3","2","4","4","2","0","0","Very little","2.Very little","Graduate degree","Pop","Telepathy","Happy","Musician or singer","International aid",
"2011","[2011]","USA","OH","Female","11","[11]","Right-Handed","160","22","159","2","Bus","30","0.375","49","Dancing","1000","1000","1000","","1000","1000","23","Left foot","100","100","Same length","September","Summer","No","No","Pizza/Pasta","Powdered drink","Physical education","9","7","5","Yes - broadband connection","Text messaging","50","50","36","10","11","12","15","7","0","8","7","8","2","5","","","Graduate degree","Country","Invisibility","Rich","Other","Health",
"2013","[2013]","USA","TX","Female","11","[11]","Right-Handed","150","30","147","2","Bus","30","0.432","50","Dancing","0","1000","1000","1000","1000","0","20","Right foot","90","100","Ring finger","January","Winter","No","No","Other","Sports drink","Art","9","12","2","No internet connection","Text messaging","0","0","7","0","1","5","2","1","1","2","5","4","0","3","Some","3.Some","High school","Pop","Telepathy","Famous","Friend","Wildlife, animals",
"2013","[2013]","USA","NY","Female","13","[13]","Right-Handed","189","20.3","189","1","Car","7","0.5","46","Lacrosse","1000","1000","1000","100","1000","1000","20","Left foot","70","70","Same length","February","Summer","No","No","Salads","Juice","Physical education","8","11","4","Yes - broadband connection","Text messaging","60","70","6","1","8","4","5","2","10","10","10","12","1","1","Some","3.Some","Graduate degree","Pop","Invisibility","Healthy","Musician or singer","Health",
"2012","[2012]","USA","DC","Female","12","[12]","Right-Handed","158","25","154","3","Car","15","0.407","35","Basketball","1000","1000","1000","1000","500","600","25","Same length","85","67","Index finger","April","Summer","No","No","No favorite","Water","English","10","9","4","Yes - broadband connection","In person","10","6","40","1","5","45","7","4","8","3","5","6","0","4","Some","3.Some","Graduate degree","Pop","Fly","Happy","Relative","Environment",
"2013","[2013]","USA","WI","Female","13","[13]","Right-Handed","175","26","175","1","Car","20","0.328","54","Basketball","500","500","500","400","1000","1000","26","Same length","100","70","Index finger","September","Spring","Yes","No","Salads","Sports drink","English","7","9","4","Yes - other","Text messaging","100","100","2","2","3","4","5","2","20","10","30","5","0","1","Some","3.Some","Graduate degree","Rap/Hip hop","Invisibility","Happy","Relative","International aid",
"2015","[2015]","USA","CA","Female","14","[14]","Right-Handed","167","25","160","1","Car","10","0.409","72","Other","950","800","900","500","800","800","25","Same length","76","76","Same length","May","Fall","No","Yes","Fruit","Water","English","8","6","3","Yes - other","Text messaging","40","46","8","1","5","9","4","0","11","2","16","4","0","0","A lot","4.A lot","Graduate degree","Punk rock","Telepathy","Happy","Musician or singer","International aid",
"2011","[2011]","USA","GA","Female","11","[11]","Right-Handed","169","24","172","1","Car","5","0.327","35","Swimming","383","498","824","","845","871","24","Same length","79","75","Index finger","February","Winter","No","No","Other","Tea","Physical education","10","12","5","No internet connection","Text messaging","20","16","2","0","8","10","4","0","2","6","1","5","0","1","A lot","4.A lot","Graduate degree","Country","Freeze time","Famous","Religious figure","Health",
"2014","[2014]","USA","MD","Female","13","[13]","Right-Handed","152","22","132","1","Bus","7","0.431","46","Soccer","1000","1000","200","500","500","500","21","Right foot","65","70","Ring finger","February","Summer","Yes","No","No favorite","Water","Mathematics and statistics","8","5","4","Yes - broadband connection","Text messaging","5","10","56","14","6","5","7","13","24","24","20","21","0","5","Some","3.Some","Other","Pop","Telepathy","Happy","Doctor or nurse","Wildlife, animals",
"2015","[2015]","USA","FL","Female","12","[12]","Right-Handed","160","9","127","1","Car","20","0.755","45","Other","600","600","700","600","800","1000","9","Same length","","","","January","Winter","Yes","No","Rice/Noodle dishes","Water","Art","9","10","4","Yes - other","Text messaging","0","3","8","3","5","7","2","5","0","1","5","10","0","10","Some","3.Some","Graduate degree","Pop","Fly","Happy","Relative","Health",
"2015","[2015]","USA","CA","Female","11","[11]","Right-Handed","138","21","138","3","Bicycle","5","0.461","51","Tennis","1000","834","1000","1000","497","743","23","Left foot","","","","July","Summer","No","Yes","Desserts","Water","Physical education","8","10","6","Yes - dial-up connection","Text messaging","2","2","2","3","7","3","5","5","7","5","7","5","0","2","Some","3.Some","Graduate degree","Pop","Telepathy","Happy","Relative","Health",
"2014","[2014]","USA","NJ","Female","11","[11]","Right-Handed","145","20.32","142","2","Car","4","0.367","49","Gymnastics","102","400","800","900","1000","1000","23","Left foot","60","60","Same length","November","Summer","No","","Meat","","Computers and technology","10","11","5","Yes - broadband connection","In person","0","0","3","0","10","11","1","0","2","0","2","9","0","1","Some","3.Some","Undergraduate degree","Other","Invisibility","Rich","Business person","Education/Youth development",
"2015","[2015]","USA","CA","Female","12","[12]","Left-Handed","146","23","137","2","Car","2","0.836","38","Soccer","508","1000","1000","1000","171","21","23","Same length","60","70","Ring finger","March","Spring","Yes","No","Pizza/Pasta","Water","Art","10","10","7","Yes - broadband connection","In person","0","0","9","5","2","1","2","1","1","2","1","1","0","1","Very little","2.Very little","Graduate degree","Other","Telepathy","Healthy","Relative","Wildlife, animals",
"2012","[2012]","USA","CA","Female","13","[13]","Right-Handed","159","22","149","1","Car","15","0.313","45","Basketball","519","658","492","647","396","690","23","Left foot","72","75","Ring finger","January","Winter","No","No","Salads","Water","Music","9","9","7","Yes - broadband connection","Internet chat or instant messaging","2","2","30","1","6","7","7","0","0","0","2","2","0","1","Some","3.Some","Graduate degree","Other","Telepathy","Healthy","Musician or singer","Arts, culture, sports",
"2015","[2015]","USA","NY","Female","11","[11]","Right-Handed","147","22","147","1","Bus","45","0.605","87","Hockey (Ice)","1000","513","818","824","0","0","22","Same length","70","70","Same length","July","Fall","Yes","No","Rice/Noodle dishes","Tea","Mathematics and statistics","9","7","3","No internet connection","Text messaging","0","0","16","2","1","18","3","1","2","1","1","2","0","2","Some","3.Some","Less than high school","Country","Telepathy","Healthy","Relative","Environment",
"2014","[2014]","USA","IL","Female","12","[12]","Right-Handed","156","23","154","1","Bus","60","0.375","54","Other","1000","561","1000","636","1000","1000","23","Same length","90","95","Ring finger","September","Summer","No","No","Pizza/Pasta","Water","Physical education","10","7","3","No internet connection","In person","0","0","2","1","5","4","10","2","0","0","0","2","0","8","A lot","4.A lot","Graduate degree","Country","Fly","Rich","Coach or club leader","Wildlife, animals",
"2014","[2014]","USA","MN","Female","12","[12]","Right-Handed","165","24.3","160","2","Bus","35","0.659","51","Dancing","559","954","200","795","800","1000","24","Same length","95","93","Index finger","December","Summer","No","No","Fruit","Water","Other","8","10","2","Yes - other","Text messaging","0","0","2","1","1","1","2","0","2","4","2","4","0","1","Some","3.Some","Graduate degree","Pop","Telepathy","Famous","Business person","International aid",
"2014","[2014]","USA","IL","Female","13","[13]","Right-Handed","166","24","170","1","Bus","10","0.591","46","Running/Jogging","1000","1000","1000","1000","10","10","24","Same length","80","70","Index finger","July","Summer","No","No","Meat","Water","Other","8","10","5","Yes - other","Internet chat or instant messaging","20","20","1","3","1","1","1","0","0","1","2","3","0","1","A lot","4.A lot","Graduate degree","Rap/Hip hop","Fly","Rich","Relative","Other",
"2011","[2011]","USA","GA","Female","11","[11]","Right-Handed","150","22","144","2","Bus","40","0.847","40","Swimming","437","487","587","","780","900","22","Same length","90","80","Index finger","May","Fall","No","No","Rice/Noodle dishes","Water","Science","8","10","4","Yes - other","In person","0","0","45","1","5","12","2","1","0","1","2","6","0","1","Some","3.Some","Graduate degree","Other","Fly","Healthy","Relative","Health",
"2015","[2015]","USA","CA","Female","11","[11]","Right-Handed","143","22","146","1","Car","4","0.432","39","Other","800","700","900","850","10","10","21","Right foot","70","80","Ring finger","September","Spring","Yes","No","Desserts","Water","English","8","10","4","Yes - dial-up connection","In person","0","0","10","1","7","7","9","0","6","6","7","1","0","2","Some","3.Some","Graduate degree","Pop","Telepathy","Happy","Teacher","Wildlife, animals",
"2015","[2015]","USA","MD","Female","14","[14]","Right-Handed","176","24","193","1","Car","40","0.533","45","Other","800","780","750","700","850","900","24","Same length","83","80","Index finger","March","Summer","No","Yes","Pizza/Pasta","Water","English","7","10","2","Yes - broadband connection","Text messaging","47","43","4","2","10","10","6","1","7","2","30","6","0","1","A lot","4.A lot","Undergraduate degree","Other","Fly","Happy","Religious figure","Wildlife, animals",
"2015","[2015]","USA","OH","Female","14","[14]","Right-Handed","163","37","166","1","Car","7","0.482","57","Other","500","600","700","500","1000","1000","25","Right foot","94","82","Index finger","October","Fall","No","No","Meat","Water","History","8","8","4","Yes - broadband connection","In person","0","0","6","0","10","10","1","1","30","0","60","25","0","0","Some","3.Some","Graduate degree","Heavy metal","Fly","Happy","Actor","Arts, culture, sports",
"2015","[2015]","USA","MD","Female","13","[13]","Right-Handed","146","19","144","1","Car","7","0.471","82","Skateboarding/Rollerblading","700","100","1000","1000","50","50","20","Left foot","63.5","63.5","Same length","February","Summer","No","No","Pizza/Pasta","Water","Languages","7","9","6","Yes - other","In person","15","20","12","1","6","6","1","0","8","5","5","1","0","1","Some","3.Some","Some college","Pop","Telepathy","Happy","Friend","Health",
"2013","[2013]","USA","RI","Female","12","[12]","Right-Handed","149","10","146","1","Car","3","1.17","42","Gymnastics","900","100","500","100","0","0","23","Left foot","70","70","Same length","March","Summer","No","No","Salads","Other","Art","9","8","5","Yes - broadband connection","Text messaging","150","200","10","0","15","10","20","45","60","45","17","10","0","25","Very little","2.Very little","Graduate degree","Pop","Fly","Happy","Other","Wildlife, animals",
"2015","[2015]","USA","MA","Female","13","[13]","Right-Handed","164","23","168","1","Bus","15","0.31","43","Soccer","250","250","350","500","700","800","25","Left foot","85","84","Index finger","April","Summer","No","No","Fruit","Water","Physical education","8","10","4","Yes - other","Text messaging","30","28","48","0","8","10","18","0","12","12","12","2","0","6","Some","3.Some","Graduate degree","Punk rock","Fly","Healthy","Sports person","Health",
"2013","[2013]","USA","NC","Female","12","[12]","Right-Handed","140","21","146","1","Car","8","0.487","55","Soccer","1000","1000","800","800","400","700","22","Left foot","70","65","Index finger","February","Spring","No","No","Seafood","Water","Science","9","8","5","Yes - other","Text messaging","100","300","10","0","9","4","6","0","5","14","20","15","0","5","Some","3.Some","Graduate degree","Pop","Invisibility","Happy","Relative","Other",
"2015","[2015]","USA","CA","Female","13","[13]","Right-Handed","144","24.13","120","2","Car","10","0.42","48","Running/Jogging","50","50","500","50","1000","1000","24","Same length","","","","October","Winter","No","No","Pizza/Pasta","Juice","Physical education","8","","4","Yes - other","Text messaging","2","1","0","0","1","3","1","0","0","1","0","4","0","1","A lot","4.A lot","Graduate degree","Rap/Hip hop","Fly","Rich","Friend","Wildlife, animals",
"2012","[2012]","USA","AZ","Female","12","[12]","Right-Handed","181","25","164","1","Car","18","0.344","53","Running/Jogging","600","600","600","600","1000","1000","25","Same length","80","70","Index finger","December","Summer","","No","Pizza/Pasta","Water","Art","10","7","8","Yes - other","Text messaging","49","64","3","0","4","1","1","3","10","5","3","5","0","1","A lot","4.A lot","Undergraduate degree","Pop","Fly","Famous","Musician or singer","Health",
"2014","[2014]","USA","OH","Female","12","[12]","Right-Handed","163","24","161","1","Car","3","0.4","50","Swimming","700","900","1000","1000","200","300","24","Same length","80","80","Same length","July","Summer","No","No","Pizza/Pasta","Soft drink (caffeinated)","Mathematics and statistics","8","10","6","Yes - other","In person","0","5","3","0","1","4","3","2","1","0","2","1","0","21","None","1.None","Graduate degree","Rock and roll","Fly","Happy","Teacher","Health",
"2013","[2013]","USA","NY","Female","13","[13]","Right-Handed","174","27","165","2","Car","5","0.515","39","Swimming","422","455","1000","417","556","802","26","Right foot","84","75","Index finger","January","Spring","No","No","Seafood","Soft drink (non-caffeinated)","Science","7","6","4","Yes - broadband connection","Internet chat or instant messaging","57","59","4","0","9","2","2","1","1","1","10","4","3","3","A lot","4.A lot","Graduate degree","Pop","Invisibility","Healthy","Doctor or nurse","Health",
"2014","[2014]","USA","WI","Female","14","[14]","Right-Handed","170","27.43","152","1","Bus","15","0.359","46","Basketball","904","503","1000","1000","1000","1000","27","Same length","60","70","Ring finger","February","Summer","Yes","No","Meat","Milk","Mathematics and statistics","5","10","5","Yes - other","Text messaging","20","30","3","1","2","24","4","0","8","5","2","0","5","1","Some","3.Some","Graduate degree","Gospel","Telepathy","Rich","Relative","Religious",
"2014","[2014]","USA","GA","Female","14","[14]","Right-Handed","163","24","153","2","Car","5","0.305","32","Dancing","701","802","601","658","519","519","24","Right foot","90","97","Ring finger","May","Fall","No","No","Rice/Noodle dishes","Energy drink","Music","8","10","5","Yes - broadband connection","Text messaging","5","2","2","1","10","5","0","0","2","2","10","3","0","1","A lot","4.A lot","Graduate degree","Techno/Electronic","Freeze time","Healthy","Musician or singer","Religious",
"2011","[2011]","USA","GA","Female","11","[11]","Left-Handed","162","24","171","2","Bus","45","0.39","46","Swimming","1000","1000","1000","","1000","1000","25","Left foot","100","110","Ring finger","June","Summer","Yes","No","No favorite","Water","Science","9","11","5","Yes - broadband connection","In person","0","0","9","2","2","100","7","1","2","0","4","1","1","1","Some","3.Some","Graduate degree","Pop","Fly","Famous","Relative","Wildlife, animals",
"2012","[2012]","USA","MO","Female","14","[14]","Right-Handed","169","24","158","1","Car","10","0.359","42","Other","600","700","300","400","900","900","24","Same length","80","75","Index finger","October","Summer","Yes","No","Fruit","Water","History","8","7","4","Yes - other","Text messaging","100","200","24","1","2","3","10","5","4","10","9","10","0","0","Some","3.Some","Graduate degree","Pop","Telepathy","Happy","Relative","International aid",
"2014","[2014]","USA","IL","Female","14","[14]","Right-Handed","159","25","171","1","Bus","6","0.51","51","Dancing","1000","792","450","680","900","1000","24","Right foot","77","77","Same length","October","Fall","Yes","No","Pizza/Pasta","Water","Art","9","7","4","Yes - other","In person","2","2","3","1","3","6","2","8","1","1","9","4","0","2","Some","3.Some","Graduate degree","Rhythm and blues (R&B)","Telepathy","Happy","Relative","Environment",
"2013","[2013]","USA","GA","Female","12","[12]","Right-Handed","151","24","147","1","Bus","15","0.343","36","Baseball/Softball","400","50","700","30","900","1000","24","Same length","100","100","Same length","December","Summer","Yes","No","Desserts","Tea","Physical education","8","12","4","Yes - broadband connection","Text messaging","150","125","7","3","3","8","15","30","30","45","50","69","5","3","A lot","4.A lot","Some college","Pop","Invisibility","Rich","Sports person","Arts, culture, sports",
"2015","[2015]","USA","CA","Female","12","[12]","Right-Handed","147","22","146","1","Car","30","0.35","56","Gymnastics","647","316","998","512","702","1000","22","Same length","70","65","Index finger","July","Winter","No","Yes","Breads/Sandwiches","Tea","Mathematics and statistics","7","12","3","No internet connection","In person","0","3","35","6","1","5","3","21","21","7","21","3","0","1","A lot","4.A lot","Graduate degree","Heavy metal","Fly","Happy","Musician or singer","Health",
"2014","[2014]","USA","NE","Female","14","[14]","Right-Handed","157","27.43","157","2","Car","15","0.835","48","Dancing","610","914","807","807","1000","513","27","Same length","70","70","Same length","April","Summer","Yes","No","Rice/Noodle dishes","Water","Mathematics and statistics","9","10","4","Yes - other","Text messaging","45","45","1","1","2","2","1","0","1","1","4","4","2","1","Some","3.Some","Other","Pop","Telepathy","Happy","Musician or singer","Education/Youth development",
"2014","[2014]","USA","NE","Female","14","[14]","Right-Handed","153","20","156","2","Car","15","0.88","43","Basketball","1000","1000","1000","1000","500","1","19","Right foot","70","69","Index finger","April","Summer","No","No","No favorite","Water","Other","5","10","6","Yes - broadband connection","Internet chat or instant messaging","5","2","0","10","10","5","0","0","10","5","10","0","0","0","None","1.None","Other","Rhythm and blues (R&B)","","","Other","International aid",
"2015","[2015]","USA","CA","Female","14","[14]","Right-Handed","163","27.43","163","2","Car","30","0.68","60","Dancing","500","1000","1000","400","2","600","27","Same length","","","","December","Fall","Yes","No","No favorite","Water","Music","10","13","4","Yes - other","Myspace, Facebook, other social networking sites, or blog","3","2","40","0","0","24","0","30","99","50","40","100","0","60","Some","3.Some","Graduate degree","Classical","Invisibility","Happy","Musician or singer","Arts, culture, sports",
"2015","[2015]","USA","CA","Female","11","[11]","Right-Handed","151","22","141","2","Bicycle","8","0.325","31","Other","1000","500","600","300","50","800","23","Left foot","105","103","Index finger","July","Spring","No","Yes","Pizza/Pasta","Water","English","9","11","4","Yes - broadband connection","Text messaging","12","13","2","0","18","4","4","1","1","1","4","0","0","1","Some","3.Some","Graduate degree","Pop","Fly","Happy","Musician or singer","Wildlife, animals",
"2014","[2014]","USA","TX","Female","12","[12]","Right-Handed","148","28","132","2","Bus","30","0.957","52","Other","1000","1000","1000","1000","30","15","28","Same length","65","65","Same length","June","Summer","Yes","No","Meat","Water","Music","9","8","6","No internet connection","In person","0","0","0","0","1","6","1","0","0","1","1","2","0","2","Some","3.Some","Some college","Rap/Hip hop","Invisibility","Famous","Musician or singer","International aid",
"2014","[2014]","USA","IL","Female","12","[12]","Right-Handed","160","24","156","1","Bus","10","0.506","45","Baseball/Softball","658","497","267","465","572","711","24","Same length","69","67","Index finger","April","Summer","Yes","No","Rice/Noodle dishes","Water","Art","9","10","5","Yes - other","In person","0","1","4","1","6","10","20","0","1","0","1","1","0","1","A lot","4.A lot","Graduate degree","Pop","Fly","Happy","Relative","Education/Youth development",
"2015","[2015]","USA","CA","Female","11","[11]","Right-Handed","145","21","151","2","Car","10","0.528","37","Dancing","497","214","508","513","348","503","21","Same length","71","71","Same length","August","Summer","Yes","Yes","Fruit","Water","Mathematics and statistics","8","8","4","Yes - dial-up connection","Text messaging","40","40","4","0","5","2","4","0","7","5","5","1","0","4","Some","3.Some","Graduate degree","Pop","Telepathy","Famous","Actor","Arts, culture, sports",
"2014","[2014]","USA","GU","Female","14","[14]","Right-Handed","160","26","163","2","Bus","20","1.162","52","Bowling","200","600","800","800","900","999","26","Same length","75","75","Same length","February","Summer","No","No","Seafood","Soft drink (caffeinated)","Mathematics and statistics","7","9","6","Yes - broadband connection","In person","8","6","36","1","10","22","2","1","41","4","37","3","0","3","Some","3.Some","Graduate degree","Other","Telepathy","Happy","Relative","Health",
"2013","[2013]","USA","RI","Female","12","[12]","Right-Handed","154","21","147","1","Bus","5","0.445","33","Basketball","1000","1000","565","900","821","1000","22","Left foot","70","70","Same length","December","Summer","No","No","Fruit","Water","English","9","6","4","Yes - other","Text messaging","24","32","4","1","1","3","8","1","4","3","9","2","5","5","None","1.None","Graduate degree","Rap/Hip hop","Invisibility","Happy","Relative","Health",
"2015","[2015]","USA","MA","Female","13","[13]","Ambidextrous","167","21","160","1","Bus","9","0.423","42","Gymnastics","385","64","797","850","1000","1000","22","Left foot","100","100","Same length","March","Summer","Yes","No","Desserts","Juice","English","10","","4","Yes - other","Cell phone","100","150","63","4","2","4","3","24","24","20","72","20","0","5","Some","3.Some","Graduate degree","Country","Invisibility","Famous","Musician or singer","Wildlife, animals",
