Building,Level,ID,Edges,Steps,Stairs,Manual Door,Non WC Elevator,ADA,Type,Lat,Long
Douglass,2,DG02B,,,,,,,entrance,43.1289347,-77.6290367
Douglass,2,DG02C,,,,,,,entrance,43.1289934,-77.6291547
Douglass,3,DG03A,,,,,,,entrance,43.1287898,-77.6287309
Wilson Commons,1,WC01,,,,,,,floor,,
Wilson Commons,2,WC02,,,,,,,floor,,
Wilson Commons,3,WC03,,,,,,,floor,,
Wilson Commons,4,WC04,,,,,,,floor,,
Wilson Commons,5,WC05,,,,,,,floor,,
Wilson Commons,2,WC02A,,,,,,,entrance,43.1289034,-77.6300559
Wilson Commons,2,WC02B,,,,,,,entrance,43.1291109,-77.6295248
Wilson Commons,3,WC03A,,,,,,,entrance,43.1289073,-77.6293854
Wilson Commons,3,WC03B,,,,,,,entrance,43.1288564,-77.6294336
Wilson Commons,4,WC04A,,,,,,,entrance,43.1289269,-77.6294015
Hutchinson,B,HUB,,,,,,,floor,,
Hutchinson,1,HU01,,,,,,,floor,,
Hutchinson,2,HU02,,,,,,,floor,,
Hutchinson,3,HU03,,,,,,,floor,,
Hutchinson,4,HU04,,,,,,,floor,,
Hylan,1,HL01,,,,,,,floor,,
Hylan,2,HL02,,,,,,,floor,,
Hylan,3,HL03,,,,,,,floor,,
Hylan,4,HL04,,,,,,,floor,,
Hylan,5,HL05,,,,,,,floor,,
Hylan,6,HL06,,,,,,,floor,,
Hylan,7,HL07,,,,,,,floor,,
Hylan,8,HL08,,,,,,,floor,,
Hylan,9,HL09,,,,,,,floor,,
Hylan,10,HL10,,,,,,,floor,,
Hylan,11,HL11,,,,,,,floor,,
Hutchinson,1,HU01A,,,,,,,entrance,43.1255878,-77.6305419
Hutchinson,2,HU02A,,,,,,,entrance,43.1253448,-77.6304361
Hylan,1,HL01A,,,,,,,entrance,43.1255926,-77.6304217
Hylan,2,HL02A,,,,,,,entrance,43.1254836,-77.6302968
Carlson,1,CL01,,,,,,,floor,,
Carlson,2,CL02,,,,,,,floor,,
Carlson,3,CL03,,,,,,,floor,,
Computer Studies,2,CS02,,,,,,,floor,,
Computer Studies,4,CS04,,,,,,,floor,,
Computer Studies,5,CS05,,,,,,,floor,,
Computer Studies,6,CS06,,,,,,,floor,,
Computer Studies,7,CS07,,,,,,,floor,,
Goergen,1,GR01,,,,,,,floor,,
Goergen,2,GR02,,,,,,,floor,,
Goergen,3,GR03,,,,,,,floor,,
Goergen,4,GR04,,,,,,,floor,,
Goergen,5,GR05,,,,,,,floor,,
Wilmot,1,WM01,,,,,,,floor,,
Wilmot,2,WM02,,,,,,,floor,,
Wilmot,3,WM03,,,,,,,floor,,
Wilmot,4,WM04,,,,,,,floor,,
Wilmot,5,WM05,,,,,,,floor,,
Computer Studies,2,CS02A,,,,,,,entrance,43.1250641,-77.6300337
Carlson,1,CL01A,,,,,,,entrance,43.1250776,-77.6300545
Carlson,2,CL02A,,,,,,,entrance,43.1250776,-77.6300545
Carlson,2,CL02B,,,,,,,entrance,43.125054,-77.6300914
Carlson,3,CL03A,,,,,,,entrance,43.1252006,-77.629632
Goergen,1,GR01A,,,,,,,entrance,43.1258061,-77.6293749
Goergen,1,GR01B,,,,,,,entrance,43.1253489,-77.6292536
Goergen,1,GR01C,,,,,,,entrance,43.1254365,-77.6295029
Goergen,2,GR02A,,,,,,,entrance,43.1252157,-77.6294935
Wilmot,1,WM01A,,,,,,,entrance,43.1258735,-77.6292802
Science Quad,,SQPA,,,,,,,intersection,43.1262845,-77.6295843
Science Quad,,SQPB,,,,,,,intersection,43.1259893,-77.6295992
Science Quad,,SQPC,,,,,,,intersection,43.1261468,-77.6295831
Science Quad,,SQPD,,,,,,,intersection,43.1259828,-77.6298489
Science Quad,,SQPE,,,,,,,intersection,43.1259919,-77.6294368
Science Quad,,SQPF,,,,,,,intersection,43.1259958,-77.6293262
Science Quad,,SQPG,,,,,,,intersection,43.1255987,-77.6298828
Science Quad,,SQPH,,,,,,,intersection,43.1254369,-77.6295797
Science Quad,,SQPI,,,,,,,intersection,43.1253716,-77.6295797
Science Quad,,SQPJ,,,,,,,intersection,43.1253521,-77.6300949
Science Quad,,SQPK,,,,,,,intersection,43.1253461,-77.6302926
Science Quad,,SQPL,,,,,,,intersection,43.1254637,-77.6302977
Science Quad,,SQPM,,,,,,,intersection,43.1259977,-77.6304611
Science Quad,,SQPN,,,,,,,intersection,43.1256953,-77.6304892
Science Quad,,SQPO,,,,,,,intersection,43.1245268,-77.6299529
Science Quad,,SQPP,,,,,,,intersection,43.1245324,-77.6312908
Science Quad,,SQPQ,,,,,,,intersection,43.1248229,-77.6294358
Science Quad,,SQPR,,,,,,,intersection,43.1249462,-77.629303
Science Quad,,SQPS,,,,,,,intersection,43.1250548,-77.6295283
Science Quad,,SQPT,,,,,,,intersection,43.1249057,-77.6312599
Science Quad,,SQPU,,,,,,,intersection,43.1259011,-77.6312961
Science Quad,,SQPV,,,,,,,intersection,43.126862,-77.6296154
Science Quad,,SQPW,,,,,,,intersection,43.1265819,-77.6295891
Science Quad,,SQPX,,,,,,,intersection,43.1250235,-77.6300425
Science Quad,,SQPY,,,,,,,intersection,43.1254583,-77.6305065
Science Quad,,SQPZ,,,,,,,intersection,43.1255468,-77.6304854
Eastman Quad,,EQPAG,,,,,,,intersection,43.1289277,-77.6280753
Eastman Quad,,EQPAH,,,,,,,intersection,43.1287427,-77.6286916
Eastman Quad,,EQPAI,,,,,,,intersection,43.1286773,-77.6288577
Eastman Quad,,EQPAJ,,,,,,,intersection,43.1286454,-77.6289473
Eastman Quad,,EQPAK,,,,,,,intersection,43.1288719,-77.6291943
Eastman Quad,,EQPAL,,,,,,,intersection,43.1285401,-77.6292292
Wilson Quad,,WQPI,,,,,,,intersection,43.1291383,-77.6300524
Wilson Quad,,WQPJ,,,,,,,intersection,43.1292371,-77.6297858
Wilson Quad,,WQPK,,,,,,,intersection,43.1293217,-77.6295629
Wilson Quad,,WQPL,,,,,,,intersection,43.1291335,-77.6294231
Wilson Quad,,WQPM,,,,,,,intersection,43.1295769,-77.6288789
Wilson Quad,,WQPN,,,,,,,intersection,43.1294828,-77.6291499
Wilson Quad,,WQPO,,,,,,,intersection,43.1296668,-77.6286361
Wilson Quad,,WQPP,,,,,,,intersection,43.128898,-77.6301587
Wilson Quad,,WQPQ,,,,,,,intersection,43.1287193,-77.6302396
